OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
91,D0021,A. J. JONES RECREATION RESERVE,B-RE-1801,233,CORNWALL STREET,GREENSLOPES,4120,153.04356967893,-27.503450560666,796.713258637739,23715.7630773671
92,D0022,J.F. O'GRADY MEMORIAL PARK,B-RE-1800,109,BROUGHAM STREET,FAIRFIELD,4103,153.023289265714,-27.5067766049266,764.769763519154,36733.2000267472
93,D0023,ROBINSON PARK (FAIRFIELD),B-RE-1799,221,FAIRFIELD ROAD,FAIRFIELD,4103,153.023535057,-27.5086302745888,563.454546636468,18066.4120071545
94,D0024,KEITH PAYNE PARK,B-RE-1798,38,BUDDINA STREET,STAFFORD,4053,153.021859937368,-27.4097240061202,399.72951625655,6374.04584924557
95,D0025,GIFFIN PARK,B-RE-1797,41,BIRUBI STREET,COORPAROO,4151,153.055722462734,-27.4847432505735,1396.7361742711,65538.873295423
96,D0026,POLLOCK STREET PARK,B-RE-1796,45,FISHERMANS BEND,BALMORAL,4171,153.067038381668,-27.4568159204129,187.074578283113,2137.81685811453
97,D0027,QUINN'S STREET PARK,B-RE-1795,216,THYNNE ROAD,BALMORAL,4171,153.071155107025,-27.4584270354949,761.465100162373,26914.3080571169
98,D0028,BALMORAL PARK,B-RE-0022,481,WYNNUM ROAD,MORNINGSIDE,4170,153.066635747628,-27.4721243465719,1688.09128578113,118424.54831414
99,D0029,MERRY STREET PARK,B-RE-1794,140,BULIMBA STREET,BULIMBA,4171,153.055773011216,-27.4448035763897,903.659517503948,34768.0442565405
100,D0030,BULIMBA MEMORIAL PARK,B-RE-1793,129,OXFORD STREET,BULIMBA,4171,153.057231173473,-27.4522532312873,945.786069237845,43050.7263480888
101,D0031,HEMMANT RECREATION RESERVE,B-RE-1792,50,DOUGHBOY PARADE,HEMMANT,4174,153.121710717494,-27.4529802321442,3078.46477978452,286473.476070116
102,D0032,IRENE LONGMAN RESERVE,B-RE-1791,26,CEDAR STREET,CANNON HILL,4170,153.088943716585,-27.4605567779107,925.570022660081,28931.460968126
103,D0033,REGENT PARK,B-RE-1819,805,WYNNUM ROAD,CANNON HILL,4170,153.080832374636,-27.4682038177753,738.880778374444,31981.1758088677
104,D0034,BILL CASH MEMORIAL PARK,B-RE-1712,898,WYNNUM ROAD,CANNON HILL,4170,153.086421988119,-27.4669658381152,914.193527609108,40964.670316031
105,D0035,COLMSLIE RESERVE,B-RE-1713,400,LYTTON ROAD,MORNINGSIDE,4170,153.082416658397,-27.4529121910509,2105.87640059202,191879.149267721
106,D0036,HARDCASTLE PARK,B-RE-1789,28,GORDON STREET,HAWTHORNE,4171,153.053822573522,-27.4608086570496,350.640076432063,5656.0433935386
107,D0037,HAWTHORNE PARK,B-RE-1788,140,RIDING ROAD,HAWTHORNE,4171,153.062048453198,-27.4636696127867,1134.71713261282,72263.5427196177
108,D0038,JOHNSTON PARK,B-RE-1787,24,JOHNSTON STREET,BULIMBA,4171,153.058085973184,-27.4452593396621,433.953877977862,7534.59138481255
109,D0039,VIC LUCAS PARK,B-RE-1786,130,QUAY STREET,BULIMBA,4171,153.052119531779,-27.4445028752213,1026.66912853848,52043.9062026021
110,D0040,KIANAWAH PARK,B-RE-1785,1555,WYNNUM ROAD,TINGALPA,4173,153.124812288999,-27.477766876846,2349.50949416638,267526.467620561
111,D0041,MACPHERSON'S OUTLOOK PARK,B-RE-1784,18,WALDO STREET,NORMAN PARK,4170,153.057407907374,-27.4721607360323,262.430175287739,3766.94532100797
112,D0042,JEREMIAH O'TOOLE PARK,B-RE-1783,10,BARINGA STREET,MORNINGSIDE,4170,153.0726674279,-27.462726201667,393.836226705739,9690.42516000746
113,D0044,JOYCE WHITE PARK,B-RE-1782,47,THYNNE ROAD,MORNINGSIDE,4170,153.070758340413,-27.4674991251496,192.346616731553,2122.57613315417
114,D0045,DONALDSON STREET PARK,B-RE-1781,46,DONALDSON STREET,NORMAN PARK,4170,153.055728682402,-27.478361670215,994.37359434045,49723.9385657734
115,D0046,WILSON PARK,B-RE-1780,70,NORMAN AVENUE,NORMAN PARK,4170,153.057469616547,-27.477190433104,557.049205426399,14288.9113857656
116,D0047,OVEREND STREET PARK,B-RE-1861,9,OVEREND STREET,NORMAN PARK,4170,153.058622433,-27.4747493846666,165.865218557159,960.475956898028
117,D0049,ROLLO PARK,B-RE-1860,15,SCOTT STREET,NORMAN PARK,4170,153.057551351225,-27.4798848479924,495.084692923886,5558.32622630283
118,D0050,VECTIS STREET PARK,B-RE-1859,31,HALIFAX STREET,NORMAN PARK,4170,153.059113354063,-27.4809986873811,1281.1279790905,49680.9499932969
119,D0051,MURARRIE RECREATION GROUND,B-RE-1858,1238,WYNNUM ROAD,MURARRIE,4172,153.104667980956,-27.4681206232986,2425.68940778144,336245.916854424
120,D0052,WILLARD STREET PARK,B-RE-1857,111,WILLARD STREET,CARINA HEIGHTS,4152,153.093455667787,-27.5051846313928,180.866951209058,2018.80643755855
121,D0053,BURN STREET PARK,B-RE-1856,35,LONG STREET,CAMP HILL,4152,153.083484122171,-27.4955257210573,261.063323497351,4032.44724909643
122,D0054,LAVARACK PARK,B-RE-1855,29,AUBREY STREET,CAMP HILL,4152,153.083794514975,-27.4898168545513,617.231431116197,19970.6799588601
123,D0055,GARTH WEBB PARK,B-RE-1854,151,STANLEY ROAD,CAMP HILL,4152,153.086000328453,-27.4884428818627,413.677087951397,5767.34300749562
124,D0056,WHITES HILL RESERVE,B-RE-1853,205,JONES ROAD,CAMP HILL,4152,153.083050745041,-27.5110290243737,6771.59000214886,1887089.30812031
